tag_id,party_id,log_time
SuLMbNw7hP,25c7c2c6-5803-46b6-b695-d94c15182c8d,17:55
nRJtMghMNj,25c7c2c6-5803-46b6-b695-d94c15182c8d,17:55
U9v9tmUdEs,7ce89d46-8ad1-4195-a0eb-12c7c5fe976f,17:58
rL0hRtSohf,7ce89d46-8ad1-4195-a0eb-12c7c5fe976f,17:58
s4UTkUJZM3,59a1d2eb-1a7c-499f-8e91-3513a295af04,17:58
O5k6qilXrv,59a1d2eb-1a7c-499f-8e91-3513a295af04,17:58
NTqJlvhfh9,943d8ef3-0df2-42f4-9ea5-48fd2006b862,17:58
dPlI1SWerY,943d8ef3-0df2-42f4-9ea5-48fd2006b862,17:58
Mr21aQMkaL,1a436876-94d3-41b8-8930-255e678d2aab,17:58
oTwkAlhk1j,1a436876-94d3-41b8-8930-255e678d2aab,17:58
UcKF2efr3x,1a436876-94d3-41b8-8930-255e678d2aab,17:58
e9r9a1UcRS,af4a250b-8fe2-4264-a957-a24e2e586483,17:58
QO22kHxC4I,af4a250b-8fe2-4264-a957-a24e2e586483,17:58
CVyRVhyv32,3516f1dc-c6cc-4280-bba5-a54cffc12006,17:58
zaDG9wOqyR,3516f1dc-c6cc-4280-bba5-a54cffc12006,17:58
8RCw5T8hw8,1a0a653b-9956-4a22-9d13-e635798d3059,17:58
WJOrC4ARjo,1a0a653b-9956-4a22-9d13-e635798d3059,17:58
VjlYswcgQs,adcd7f2b-a66d-4727-943a-263f0a3f119d,17:58
u1v25aKqzC,adcd7f2b-a66d-4727-943a-263f0a3f119d,17:58
jgjFYWADwp,adcd7f2b-a66d-4727-943a-263f0a3f119d,17:58
cTlVYGtxbD,f47a4292-033d-4947-a01c-20ad7512cc09,18:04
jXHCg9KjD8,f47a4292-033d-4947-a01c-20ad7512cc09,18:04
6ywVYALeKU,befa7478-7878-4543-982a-7e4116909a06,17:58
eqbckHZNOo,befa7478-7878-4543-982a-7e4116909a06,17:58
B2lEbEKNEb,befa7478-7878-4543-982a-7e4116909a06,17:58
JdPGPAuSlu,befa7478-7878-4543-982a-7e4116909a06,17:58
ruFyum2Wxw,1b99b0a5-c61c-44e8-9e10-481f1d55a1cf,17:58
eXbMiBZvel,1b99b0a5-c61c-44e8-9e10-481f1d55a1cf,17:58
VngbI0f8mW,1b99b0a5-c61c-44e8-9e10-481f1d55a1cf,17:58
YkGmSgCSLX,1b99b0a5-c61c-44e8-9e10-481f1d55a1cf,17:58
eLgVwzSXUf,67003f7d-863b-4b79-ace2-738c4f878dc9,18:04
