tag_id,party_id,log_time
rVdgBbKfX8,f8602833-fed6-4eac-944e-377a687d57ea,22:55
RgL33s735V,f8602833-fed6-4eac-944e-377a687d57ea,22:55
fPFnQsm6Hy,bc3d0b33-7d35-4f75-a25c-9e675f8124c8,22:55
1Zn8uMUMUQ,bc3d0b33-7d35-4f75-a25c-9e675f8124c8,22:55
8UGzZOc7Je,bc3d0b33-7d35-4f75-a25c-9e675f8124c8,22:55
N3n2z90s9u,bc3d0b33-7d35-4f75-a25c-9e675f8124c8,22:55
oaNxhNB0I8,bc3d0b33-7d35-4f75-a25c-9e675f8124c8,22:55
3LeIFNwEnS,369683ce-5503-49c5-af9a-d8d70ac2bd90,22:55
Nmc5JgFAzH,369683ce-5503-49c5-af9a-d8d70ac2bd90,22:55
twDwlyfE7W,369683ce-5503-49c5-af9a-d8d70ac2bd90,22:55
zsiKNpHVkq,04202bd7-30d3-434b-b7ae-2085c89bfdf2,22:55
iOKRVZQND0,04202bd7-30d3-434b-b7ae-2085c89bfdf2,22:55
6tSnFdoP80,04202bd7-30d3-434b-b7ae-2085c89bfdf2,22:55
tSklEGSNAf,dbbdf661-086a-40f9-b161-9d702b50bcd2,22:55
LCQF9Wb4oA,dbbdf661-086a-40f9-b161-9d702b50bcd2,22:55
zcoxbPK8VK,dbbdf661-086a-40f9-b161-9d702b50bcd2,22:55
GrPytmmKaU,dbbdf661-086a-40f9-b161-9d702b50bcd2,22:55
eDEfB33XPb,c4916387-7875-49f0-8774-3478925a1177,23:02
QTBNvBOx4Z,c4916387-7875-49f0-8774-3478925a1177,23:02
K9s4gfOKRB,c4916387-7875-49f0-8774-3478925a1177,23:02
gARlguBPi7,c4916387-7875-49f0-8774-3478925a1177,23:02
kQZMUJelOz,59dd0c37-d8f6-4512-add5-5c6edccd2c6b,23:02
xiOqAOizMi,59dd0c37-d8f6-4512-add5-5c6edccd2c6b,23:02
mr0rBqcPlG,59dd0c37-d8f6-4512-add5-5c6edccd2c6b,23:02
BNM7rLrHPB,59dd0c37-d8f6-4512-add5-5c6edccd2c6b,23:02
4C8D4RV9to,d2fb03a8-8942-4d49-ae92-d85cca6fd99b,23:02
48NzlrI3ZG,d2fb03a8-8942-4d49-ae92-d85cca6fd99b,23:02
DITffJeOeO,d2fb03a8-8942-4d49-ae92-d85cca6fd99b,23:02
xquVmPKUFY,d2fb03a8-8942-4d49-ae92-d85cca6fd99b,23:02
liifWoVBLH,e383fa40-2861-48bd-abdb-4bb7a18540ca,23:02
GoyKIhRuEA,e383fa40-2861-48bd-abdb-4bb7a18540ca,23:02
NawwZCua0N,e383fa40-2861-48bd-abdb-4bb7a18540ca,23:02
GW5iqfUWMz,540bac64-8fef-4f76-8955-7322ac101f79,23:07
LapNTApP2u,540bac64-8fef-4f76-8955-7322ac101f79,23:07
dW1Gfgnuq4,540bac64-8fef-4f76-8955-7322ac101f79,23:07
smYVYZXv99,540bac64-8fef-4f76-8955-7322ac101f79,23:07
WztTyRMZA6,cce3cfd5-fae0-4e8c-af01-491406cfa3a4,23:07
jNfveGpnPi,cce3cfd5-fae0-4e8c-af01-491406cfa3a4,23:07
ngwHK1ibly,cce3cfd5-fae0-4e8c-af01-491406cfa3a4,23:07
4dz60jboQI,cce3cfd5-fae0-4e8c-af01-491406cfa3a4,23:07
DVF8ipB9Hg,93431f8a-a825-44e7-b5b5-9c29b9f4595a,23:07
dcEOrjU3HO,93431f8a-a825-44e7-b5b5-9c29b9f4595a,23:07
STGTYlxVOd,93431f8a-a825-44e7-b5b5-9c29b9f4595a,23:07
uGmdBqjCvK,93431f8a-a825-44e7-b5b5-9c29b9f4595a,23:07
fUvkvjbJxo,056cd846-85a6-4b4a-a169-6e2d456593f2,23:07
dWVM6uUf1K,056cd846-85a6-4b4a-a169-6e2d456593f2,23:07
8WJ0GZIf4C,056cd846-85a6-4b4a-a169-6e2d456593f2,23:07
3tfE1zcq9w,056cd846-85a6-4b4a-a169-6e2d456593f2,23:07
VjQ36C4GPX,7f09ff1c-9c3f-44a3-a957-84cb0a5109fe,23:15
MYrcLHZ8YI,7f09ff1c-9c3f-44a3-a957-84cb0a5109fe,23:15
StOFhSrUVc,7f09ff1c-9c3f-44a3-a957-84cb0a5109fe,23:15
Bpcl4hmh41,eda2d84f-b41c-4592-b64c-e87a3ef2277c,23:15
wC1ZlOPhCo,eda2d84f-b41c-4592-b64c-e87a3ef2277c,23:15
YbrXeJe2MV,eda2d84f-b41c-4592-b64c-e87a3ef2277c,23:15
yuOrVs7U2v,2f260831-fd45-4d72-99fe-44dd53fcbe9f,23:15
lk4oe4hRTv,2f260831-fd45-4d72-99fe-44dd53fcbe9f,23:15
Yy30P6RwtI,2f260831-fd45-4d72-99fe-44dd53fcbe9f,23:15
2yDb2Wykdm,2f260831-fd45-4d72-99fe-44dd53fcbe9f,23:15
1xbSpJkR6i,2f260831-fd45-4d72-99fe-44dd53fcbe9f,23:15
GhGqf80JZ7,dea9321f-d6ea-45f7-910c-6d198880dd72,23:11
joCl9SHY7V,dea9321f-d6ea-45f7-910c-6d198880dd72,23:11
3czVT8RJG8,dea9321f-d6ea-45f7-910c-6d198880dd72,23:11
T0IVvjCrHV,dea9321f-d6ea-45f7-910c-6d198880dd72,23:11
togEXUNIjZ,dea9321f-d6ea-45f7-910c-6d198880dd72,23:11
jnB03A3l0C,dea9321f-d6ea-45f7-910c-6d198880dd72,23:11
PNHP6BWsLD,dea9321f-d6ea-45f7-910c-6d198880dd72,23:11
i8iORiZwJB,747b75c5-9f1e-4650-acc1-388e4db64929,23:15
DJS9WwlfAF,747b75c5-9f1e-4650-acc1-388e4db64929,23:15
40EtfCRbN9,747b75c5-9f1e-4650-acc1-388e4db64929,23:15
KtC5vj43kQ,d35adbcd-a1ef-472b-8416-b038ede8d53a,23:15
IepeWhpJFP,d35adbcd-a1ef-472b-8416-b038ede8d53a,23:15
8PfFlb81OG,c265c46d-4927-438f-a1ab-5e42290d8c03,23:11
gEV0zOwlUN,c265c46d-4927-438f-a1ab-5e42290d8c03,23:11
gwcWwBxT9d,c265c46d-4927-438f-a1ab-5e42290d8c03,23:11
gAyG8Jm0hJ,c265c46d-4927-438f-a1ab-5e42290d8c03,23:11
qGmNHDeoRz,c265c46d-4927-438f-a1ab-5e42290d8c03,23:11
6bIaYT8h0o,f9178cc6-12f2-4d90-b951-9d5bb3fbc930,23:11
jRvFxEca8H,f9178cc6-12f2-4d90-b951-9d5bb3fbc930,23:11
rzhVy1AN4n,f9178cc6-12f2-4d90-b951-9d5bb3fbc930,23:11
RvMrW0q9tR,19372835-319c-4336-8ec3-9ca3598e8704,23:20
QqGS1kpTG2,19372835-319c-4336-8ec3-9ca3598e8704,23:20
KO28yYAZiP,19372835-319c-4336-8ec3-9ca3598e8704,23:20
nfO3we5Zvs,19372835-319c-4336-8ec3-9ca3598e8704,23:20
aRx7um6UW4,37350913-9679-4d5e-8351-c5f42d9d56e3,23:20
GAl2jZGihC,37350913-9679-4d5e-8351-c5f42d9d56e3,23:20
EezDdPUJff,37350913-9679-4d5e-8351-c5f42d9d56e3,23:20
kqbMJv7MDQ,37350913-9679-4d5e-8351-c5f42d9d56e3,23:20
IclONdILgE,37350913-9679-4d5e-8351-c5f42d9d56e3,23:20
WdjT2YGyNw,7bbca5ae-cbed-4ad6-bb5d-56d0730ff1d3,23:20
WSAzWNiRug,7bbca5ae-cbed-4ad6-bb5d-56d0730ff1d3,23:20
3Ii8Mvn5Wx,7bbca5ae-cbed-4ad6-bb5d-56d0730ff1d3,23:20
cS4bIwSHJT,e90c2897-a72e-4157-bbfd-aeebb7cd88f3,23:30
zESpJ6m4zJ,e90c2897-a72e-4157-bbfd-aeebb7cd88f3,23:30
4z6BQcKiSv,e90c2897-a72e-4157-bbfd-aeebb7cd88f3,23:30
9pr5Vougcw,e90c2897-a72e-4157-bbfd-aeebb7cd88f3,23:30
2prf5rTMde,e90c2897-a72e-4157-bbfd-aeebb7cd88f3,23:30
CgCzu3HNYm,62ddbb17-947b-4b06-825c-b982123aaf77,23:20
m0lqiAnOgR,62ddbb17-947b-4b06-825c-b982123aaf77,23:20
iAwJe07z02,ab47d914-bfa1-489c-96da-6370dad9b903,23:30
YmPCadlqbI,ab47d914-bfa1-489c-96da-6370dad9b903,23:30
56ABZHkYtG,ab47d914-bfa1-489c-96da-6370dad9b903,23:30
VnpmlVSvcy,de19adec-1bb2-4d01-a287-a98f579dee46,23:30
NJDuNAKNmA,de19adec-1bb2-4d01-a287-a98f579dee46,23:30
hCzs9PALE7,de19adec-1bb2-4d01-a287-a98f579dee46,23:30
HYGafAxvCQ,450170d2-6897-4bfa-9981-ac6419b9fa17,23:30
BZe2RlaBH5,450170d2-6897-4bfa-9981-ac6419b9fa17,23:30
JWjSCObG02,8c4dfbd9-74ee-419b-8cf7-8193c2b38e88,23:36
g1OvIYkqFu,8c4dfbd9-74ee-419b-8cf7-8193c2b38e88,23:36
gLb2McNHV1,8c4dfbd9-74ee-419b-8cf7-8193c2b38e88,23:36
5YJOb0SYCz,8c4dfbd9-74ee-419b-8cf7-8193c2b38e88,23:36
oyvVoGK7bw,8c4dfbd9-74ee-419b-8cf7-8193c2b38e88,23:36
1YAA72FX2i,ca77ea0b-3c6e-4678-b416-d067826be925,23:30
vE8wuNFIBA,ca77ea0b-3c6e-4678-b416-d067826be925,23:30
u73pMeotPr,ca77ea0b-3c6e-4678-b416-d067826be925,23:30
5P2IWtJa2Y,ca77ea0b-3c6e-4678-b416-d067826be925,23:30
7lhUZ1KlMc,47f1787b-4dee-4390-b5c5-fc3224c38260,23:36
5RpdEcWO6y,47f1787b-4dee-4390-b5c5-fc3224c38260,23:36
N48ugF0JaL,47f1787b-4dee-4390-b5c5-fc3224c38260,23:36
HN7DRlH1dh,47f1787b-4dee-4390-b5c5-fc3224c38260,23:36
