date,participants,day_of_week,weekend
2022-05-23,39,Monday,False
2022-05-24,8,Tuesday,False
2022-05-25,15,Wednesday,False
2022-05-26,19,Thursday,False
2022-05-27,33,Friday,False
2022-05-28,86,Saturday,True
2022-05-29,57,Sunday,True
2022-05-30,62,Monday,False
2022-05-31,87,Tuesday,False
2022-06-01,98,Wednesday,False
2022-06-02,96,Thursday,False
2022-06-03,106,Friday,False
2022-06-04,128,Saturday,True
2022-06-05,106,Sunday,True
2022-06-06,98,Monday,False
2022-06-07,109,Tuesday,False
2022-06-08,47,Wednesday,False
2022-06-09,44,Thursday,False
2022-06-10,103,Friday,False
2022-06-11,62,Saturday,True
2022-06-12,134,Sunday,True
2022-06-13,92,Monday,False
2022-06-14,129,Tuesday,False
2022-06-15,155,Wednesday,False
2022-06-16,162,Thursday,False
2022-06-17,171,Friday,False
2022-06-18,157,Saturday,True
2022-06-19,151,Sunday,True
